,Keyword,Score,Chapter,Author
0,autobiography,0.5638,1,Hsien
1,novelists,0.4051,1,Hsien
2,historical,0.3678,1,Hsien
3,confucius,0.3298,1,Hsien
4,posterity,0.3056,1,Hsien
5,nobility,0.299,1,Hsien
6,antiquities,0.2977,1,Hsien
7,characters,0.2769,1,Hsien
8,examination,0.2524,1,Hsien
9,story,0.2443,1,Hsien
0,cunning,1.3134000000000001,2,Hsien
1,weichuang,1.2182,2,Hsien
2,dragon,1.1426,2,Hsien
3,midst,1.0834000000000001,2,Hsien
4,head,0.7162,2,Hsien
5,away,0.7058,2,Hsien
6,chao,0.6342,2,Hsien
7,ah,0.6060000000000001,2,Hsien
8,scholars,0.5788,2,Hsien
9,worker,0.5484,2,Hsien
0,emperor,1.6223999999999998,3,Hsien
1,examinations,1.3617,3,Hsien
2,cheeks,1.2368999999999999,3,Hsien
3,chang,1.1166,3,Hsien
4,honour,1.0527,3,Hsien
5,stood,0.8832,3,Hsien
6,confucians,0.8481000000000001,3,Hsien
7,contrary,0.8481000000000001,3,Hsien
8,punch,0.6648,3,Hsien
9,fiercely,0.639,3,Hsien
0,odiousness,1.8927,4,Hsien
1,house,1.6677000000000002,4,Hsien
2,shang,1.1199000000000001,4,Hsien
3,relevant,1.0338,4,Hsien
4,monks,1.0323,4,Hsien
5,study,0.9728999999999999,4,Hsien
6,tragedy,0.9567000000000001,4,Hsien
7,sonless,0.861,4,Hsien
8,nun,0.8361000000000001,4,Hsien
9,surrendered,0.8133,4,Hsien
0,weichuang,1.6132,5,Hsien
1,looked,0.8646,5,Hsien
2,modesty,0.6928,5,Hsien
3,suffered,0.6184,5,Hsien
4,chao,0.59,5,Hsien
5,exactly,0.5742,5,Hsien
6,exclaimed,0.554,5,Hsien
7,striking,0.5338,5,Hsien
8,cheeks,0.47,5,Hsien
9,straightened,0.4608,5,Hsien
0,weichuang,3.6108,6,Hsien
1,yen,1.5434999999999999,6,Hsien
2,story,1.476,6,Hsien
3,cash,1.2528000000000001,6,Hsien
4,stood,1.2498,6,Hsien
5,ah,1.2462,6,Hsien
6,away,1.1502,6,Hsien
7,pai,1.1385,6,Hsien
8,innkeeper,1.0476,6,Hsien
9,ancients,1.0017,6,Hsien
0,revolutionaries,3.4070999999999994,7,Hsien
1,chao,2.6712000000000002,7,Hsien
2,yen,1.5923999999999998,7,Hsien
3,pai,1.5396,7,Hsien
4,emperor,1.4805000000000001,7,Hsien
5,gate,1.2549000000000001,7,Hsien
6,weichuang,1.2534,7,Hsien
7,suddenly,1.167,7,Hsien
8,house,1.0488,7,Hsien
9,adversity,0.8907,7,Hsien
0,weichuang,1.4136000000000002,8,Hsien
1,yen,1.0998,8,Hsien
2,head,0.9212,8,Hsien
3,pigtails,0.9174,8,Hsien
4,gate,0.8648,8,Hsien
5,suddenly,0.8458,8,Hsien
6,pai,0.8364,8,Hsien
7,revolutionaries,0.7946,8,Hsien
8,tiptoed,0.5486,8,Hsien
9,twist,0.548,8,Hsien
0,chao,2.1993,9,Hsien
1,weichuang,1.6383,9,Hsien
2,courage,1.5174,9,Hsien
3,ah,1.4733,9,Hsien
4,provincial,1.4502,9,Hsien
5,saw,1.431,9,Hsien
6,militiamen,1.1927999999999999,9,Hsien
7,man,1.167,9,Hsien
8,case,1.1655,9,Hsien
9,sides,1.1604,9,Hsien
